MMSI,Method,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19,Sub20,Sub21
538004506.csv,Kalman,11.147618014743069,14.043762516550947,18.280020674828886,22.34962205464988,26.392916566224663,41.97884438586136,48.55251268242848,52.16644925711149,55.404085154576244,56.58379960590245,59.55897703653594,66.0357720100437,219.26742262118762,238.89070337753964,241.5068542511752,246.74769775778236,568.2365185455155,570.6510992121674,588.3343604041955,597.8661356129697,1733.0475053418502
538004506.csv,Linear,34.058362002511906,49.82957427421505,65.79841264404304,81.67459620305253,97.61846082172698,112.5687247905584,124.32340739849454,140.10058221465894,151.5158063315347,167.61076512991764,185.10570657649745,204.3203144226737,241.07979579295366,254.63473165832684,266.0615567043322,279.79668750699386,446.97937439690565,463.23244944775166,480.57707557791485,515.4022265587294,1256.6487642266213
226105000.csv,Kalman,18.614428852885418,30.205485900782357,63.560837345214374,151.89129230641885,223.37585958906206,279.19664397064906,394.4083256193571,474.493518692475,399.42949453922927,333.675711333462,365.4743906991098,500.5576593005252,540.6702245877375,513.4541405568514,481.2420477615267,494.81554740435035,464.8203414666596,918.8923147039288,864.0480596760184,838.7060092717898,1462.6214595375125
226105000.csv,Linear,131.8621391835854,196.8709948336527,259.037548252442,320.6210009605039,383.9306097198691,442.9625416592423,506.06813732504867,571.7293787280416,621.8954553526177,679.6720506701918,731.3655467058123,775.0083654511839,808.4301734769235,853.5709605481402,905.2317058492018,945.5545567211781,1033.7467363417782,1125.093143985369,1223.1296962210956,1625.9875556883846,2058.1214462784587
235097013.csv,Kalman,10.626721645151873,13.843171585633103,19.3537410423738,24.0142644892436,45.35257402865316,97.23977553008017,57.28503811035702,131.05838686465094,201.07662839890048,101.06803014480879,131.7485538348845,177.02837298690346,157.07737753776277,171.77024150211602,187.83676136247024,166.17790054966028,162.01401528928048,162.11307972879948,153.48304606353923,135.47728652115003,133.5285283318939
235097013.csv,Linear,75.62589023832994,112.26196437301637,148.45871331854954,186.40381107196745,218.69464113930317,260.42706256790825,284.98956362254154,332.3805791885821,345.97945905285417,375.7987201620041,424.7896715395312,474.6351531447272,487.8024695130585,499.2867479196327,516.6781668501977,540.2857937379061,571.1282174786594,606.9293322383666,648.7643542280038,694.4909474341222,746.6654110986835
305714000.csv,Kalman,7.822227201384328,27.182771454560076,39.151749158752615,86.49428899184726,124.87292015067328,161.7528345637209,192.01364290642798,183.23825906589914,234.0532291908679,369.9785439606517,239.4004977498811,416.8117967293058,295.1641337045917,424.9715480749919,950.4293269983107,594.1774276453802,1774.1870389999901,1171.4673287471085,1494.3097308211136,2223.0864852359487,3640.662150508785
305714000.csv,Linear,73.33951752484636,117.96849095138724,154.04305225413415,214.53351986066534,274.847019654415,305.208879037369,324.3653513952015,363.7856362112561,395.81935508419724,526.6009084301602,584.0772308515502,734.9172165155695,698.5670732337875,729.5120141002149,1063.075797112998,1255.6901703805254,2235.447055949014,2267.3600174474786,2270.229384617449,6959.81684024321,6961.939718710762
304519000.csv,Kalman,14.150928703445604,25.105801682519193,43.76763243132355,64.89558626194699,65.65351388104767,101.12651690555835,95.96947107292169,127.86499242950467,137.50390272141843,169.3302419167221,126.77341418621499,208.50970075278323,261.34713464620785,239.36983026857706,239.2162572448185,189.98117054977388,168.56027479584392,173.52151745449217,207.5270931524381,243.99628245704952,215.82616415126745
304519000.csv,Linear,53.19453546932937,78.97459506928158,104.2614846684644,130.12208365621117,153.18632316676477,179.77998089421587,196.5656985335052,232.69987589080046,243.33474230109664,263.1938302384937,298.7074512768299,335.1350819660845,339.5048513355618,349.7619283082496,361.09939194367087,377.7856371831114,397.0027953406806,420.7818691791257,449.68800209953247,483.79440416528735,519.4659129158191
304927000.csv,Kalman,17.6209414265297,49.148932800400935,96.7351060009261,142.67434870692776,173.80254875037667,189.83309648912604,176.52169816303027,218.41676926439118,251.63675378478825,270.53652366676187,307.54195349607596,400.81981147069166,445.9595864566312,401.62725921066954,382.1878072257291,365.1307796774223,412.01831440247105,509.26034643897844,555.0537943977647,538.2711979925474,718.8260493475833
304927000.csv,Linear,32.13996023079312,47.2737198621732,62.504673488329594,77.21263545686725,92.31546970298434,107.81129811641927,120.43707079790815,138.38102358849002,145.85624001360628,162.31655763361655,183.35540094561313,196.50182707407467,200.00353057670998,207.03862039767353,216.1455796830866,227.79395322835003,242.4802233087635,259.4456400599882,278.13847361469345,300.6361026678728,368.90353994281975
